timestamp,index,gpu_name,gpu_bus_id,fan.speed,pstate,clocks_throttle_reasons.hw_slowdown,utilization.gpu,temperature.gpu,power.draw,clocks.gr
2018/03/01 14:51:41.129, 0, GeForce GTX 1060 6GB, 00000000:01:00.0, 0, P0, Not Active, 0, 47, 33.42, 1974
2018/03/01 14:51:41.133, 1, GeForce GTX 1060 6GB, 00000000:03:00.0, 33, P0, Not Active, 0, 51, 26.01, 1569
2018/03/01 14:51:41.137, 2, GeForce GTX 1060 6GB, 00000000:05:00.0, 0, P0, Not Active, 0, 51, 25.52, 1569
2018/03/01 14:51:41.143, 3, GeForce GTX 1060 6GB, 00000000:06:00.0, 0, P0, Not Active, 0, 48, 25.23, 1569
2018/03/01 14:51:41.147, 4, GeForce GTX 1060 6GB, 00000000:07:00.0, 0, P0, Not Active, 0, 47, 31.51, 1607
2018/03/01 14:51:41.152, 5, GeForce GTX 1060 6GB, 00000000:08:00.0, 0, P0, Not Active, 0, 39, 25.49, 1506
2018/03/01 14:56:40.767, 0, GeForce GTX 1060 6GB, 00000000:01:00.0, 42, P2, Not Active, 100, 57, 94.51, 2075
2018/03/01 14:56:40.786, 1, GeForce GTX 1060 6GB, 00000000:03:00.0, 42, P2, Not Active, 100, 71, 96.02, 1987
2018/03/01 14:56:40.800, 2, GeForce GTX 1060 6GB, 00000000:05:00.0, 41, P2, Not Active, 100, 70, 110.10, 2025
2018/03/01 14:56:40.807, 3, GeForce GTX 1060 6GB, 00000000:06:00.0, 38, P2, Not Active, 100, 67, 107.69, 2025
2018/03/01 14:56:40.811, 4, GeForce GTX 1060 6GB, 00000000:07:00.0, 48, P2, Not Active, 100, 66, 109.07, 2062
2018/03/01 14:56:40.816, 5, GeForce GTX 1060 6GB, 00000000:08:00.0, 25, P2, Not Active, 100, 53, 106.98, 2100
2018/03/01 15:01:40.862, 0, GeForce GTX 1060 6GB, 00000000:01:00.0, 43, P2, Not Active, 100, 58, 112.03, 2075
2018/03/01 15:01:40.869, 1, GeForce GTX 1060 6GB, 00000000:03:00.0, 43, P2, Not Active, 100, 71, 103.43, 1987
2018/03/01 15:01:40.879, 2, GeForce GTX 1060 6GB, 00000000:05:00.0, 42, P2, Not Active, 100, 70, 109.36, 2025
2018/03/01 15:01:40.883, 3, GeForce GTX 1060 6GB, 00000000:06:00.0, 40, P2, Not Active, 100, 67, 107.62, 2025
2018/03/01 15:01:40.887, 4, GeForce GTX 1060 6GB, 00000000:07:00.0, 50, P2, Not Active, 100, 66, 113.06, 2050
2018/03/01 15:01:40.892, 5, GeForce GTX 1060 6GB, 00000000:08:00.0, 29, P2, Not Active, 100, 54, 113.11, 2100
2018/03/01 15:06:40.937, 0, GeForce GTX 1060 6GB, 00000000:01:00.0, 43, P2, Not Active, 100, 58, 112.18, 2075
2018/03/01 15:06:40.941, 1, GeForce GTX 1060 6GB, 00000000:03:00.0, 43, P2, Not Active, 100, 70, 103.59, 1987
2018/03/01 15:06:40.946, 2, GeForce GTX 1060 6GB, 00000000:05:00.0, 42, P2, Not Active, 100, 69, 109.39, 2025
2018/03/01 15:06:40.950, 3, GeForce GTX 1060 6GB, 00000000:06:00.0, 39, P2, Not Active, 100, 66, 107.23, 2025
2018/03/01 15:06:40.954, 4, GeForce GTX 1060 6GB, 00000000:07:00.0, 50, P2, Not Active, 100, 65, 113.44, 2050
2018/03/01 15:06:40.958, 5, GeForce GTX 1060 6GB, 00000000:08:00.0, 27, P2, Not Active, 100, 54, 113.81, 2100
2018/03/01 15:11:41.005, 0, GeForce GTX 1060 6GB, 00000000:01:00.0, 42, P2, Not Active, 100, 57, 111.51, 2075
2018/03/01 15:11:41.010, 1, GeForce GTX 1060 6GB, 00000000:03:00.0, 43, P2, Not Active, 100, 71, 103.52, 1987
2018/03/01 15:11:41.014, 2, GeForce GTX 1060 6GB, 00000000:05:00.0, 42, P2, Not Active, 100, 69, 108.92, 2025
2018/03/01 15:11:41.018, 3, GeForce GTX 1060 6GB, 00000000:06:00.0, 39, P2, Not Active, 100, 67, 107.80, 2025
2018/03/01 15:11:41.024, 4, GeForce GTX 1060 6GB, 00000000:07:00.0, 49, P2, Not Active, 100, 66, 113.63, 2050
2018/03/01 15:11:41.033, 5, GeForce GTX 1060 6GB, 00000000:08:00.0, 29, P2, Not Active, 100, 54, 113.81, 2100
